question,answer,
When will cat 2 be conducted,10th September,
When will cat2 be conducted,10th September,
When will cat 2 happen,10th September,
When is cat 2,10th September,
When will cat 2 start,10th September,
When will cat2 start,10th September,
cat2,10th September,
When is cat2 going to start,10th September,
cat 2 starting date ,10th September,
cat 2,10th September,
cat 2 start,10th September,
cat2 start,10th September,
When will cat 1 be conducted,8th August,
When will cat1 be conducted,8th August,
When will cat 1 happen,8th August,
When is cat 1,8th August,
When will cat 1 start,8th August,
When will cat1 start,8th August,
cat1,8th August,
When is cat1 going to start,8th August,
cat 1 starting date ,8th August,
cat 1,8th August,
cat 1 start,8th August,
cat1 start,8th August,
When will quiz 1 be conducted,5th August,
When is quiz 1,5th August,
When is quiz1,5th August,
When will the quiz happen,5th August,
When will you take quiz,5th August,
When will you take the quiz,5th August,
When quiz 1 happen,5th August,
When is the quiz,5th August,
Which day is the quiz on,5th August,
quiz1,5th August,
quiz 1,5th August,
quiz 1 date,5th August,
quiz1 date,5th August,
When is DA 1 due,31st August,
What is the deadline for DA 1,31st August,
When should we submit DA 1,31st August,
What is the last date for submitting DA 1,31st August,
When can we submit DA 1,31st August,
DA1,31st August,
DA 1,31st August,
When are we supposed to submit the DA 1,31st August,
When is DA 2 due,5th September,
What is the deadline for DA 2,5th September,
When should we submit DA 2,5th September,
What is the last date for submitting DA 2,5th September,
When can we submit DA 2,5th September,
DA2,5th September,
DA 2,5th September,
When are we supposed to submit the DA 2,5th September,
When will fat be conducted,1st December,
When will fat  be conducted,1st December,
When will fat be conducted,1st December,
When will fat  happen,1st December,
When is fat ,1st December,
When will fat  start,1st December,
When will fat start,1st December,
fat,1st December,
When is fat going to start,1st December,
fat  starting date ,1st December,
fat ,1st December,
fat start,1st December,
